日期,時間,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
20240515,2024-05-15 22:36:01.547401,00910,第一金太空衛星,253422,17,4352293,17.07,17.25,17.07,17.18,+,0.29,17.14,188,17.18,88,0.00
20240515,2024-05-15 22:36:01.547401,00911,兆豐洲際半導體,291009,146,7908137,27.01,27.22,27.01,27.15,+,0.33,27.15,42,27.16,18,0.00
20240515,2024-05-15 22:36:01.547401,00912,中信臺灣智慧50,439646,248,7821221,17.56,17.90,17.56,17.76,+,0.20,17.75,7,17.76,73,0.00
20240515,2024-05-15 22:36:01.547401,00913,兆豐台灣晶圓製造,664457,91,13382752,20.14,20.21,20.06,20.06,+,0.13,20.05,7,20.06,5,0.00
20240515,2024-05-15 22:36:01.547401,00915,凱基優選高股息30,7859524,2295,207010881,26.24,26.42,26.23,26.24,+,0.02,26.24,263,26.25,110,0.00
20240515,2024-05-15 22:36:01.547401,00916,國泰全球品牌50,157743,258,3412308,21.62,21.66,21.61,21.62,+,0.04,21.61,1,21.62,34,0.00
20240515,2024-05-15 22:36:01.547401,00917,中信特選金融,890125,140,17425041,19.60,19.63,19.55,19.56,+,0.08,19.55,50,19.56,6,0.00
20240515,2024-05-15 22:36:01.547401,00918,大華優利高填息30,10185008,3633,248883329,24.45,24.56,24.32,24.33,-,0.12,24.33,20,24.34,104,0.00
20240515,2024-05-15 22:36:01.547401,00919,群益台灣精選高息,78928851,39114,1973251660,25.06,25.10,24.90,24.92,-,0.13,24.91,494,24.92,581,0.00
20240515,2024-05-15 22:36:01.547401,00920,富邦ESG綠色電力,187413,98,2743103,14.60,14.66,14.60,14.62,+,0.12,14.61,10,14.62,29,0.00
20240515,2024-05-15 22:36:01.547401,00921,兆豐龍頭等權重,1138144,440,22191893,19.34,19.60,19.34,19.40,+,0.09,19.39,101,19.40,4,0.00
20240515,2024-05-15 22:36:01.547401,00922,國泰台灣領袖50,7982253,2799,159002509,19.75,20.02,19.75,19.87,+,0.17,19.86,12,19.87,133,0.00
20240515,2024-05-15 22:36:01.547401,00923,群益台ESG低碳50,5940362,2622,121813022,20.38,20.62,20.38,20.47,+,0.19,20.46,53,20.47,27,0.00
20240515,2024-05-15 22:36:01.547401,00924,復華S&P500成長,879610,370,18303150,20.87,20.88,20.76,20.76,+,0.01,20.76,119,20.78,7,0.00
20240515,2024-05-15 22:36:01.547401,00925,新光標普電動車,217000,5,3610900,16.65,16.65,16.62,16.62,+,0.14,16.61,230,16.64,203,0.00
20240515,2024-05-15 22:36:01.547401,00926,凱基全球菁英55,686342,154,14146609,20.64,20.70,20.56,20.57,+,0.02,20.55,282,20.57,4,0.00
20240515,2024-05-15 22:36:01.547401,00927,群益半導體收益,7569480,2280,142798762,18.85,18.94,18.78,18.79,+,0.08,18.78,67,18.79,29,0.00
20240515,2024-05-15 22:36:01.547401,00929,復華台灣科技優息,115711197,32598,2347135580,20.30,20.36,20.18,20.20, ,0.00,20.19,1115,20.20,1381,0.00
20240515,2024-05-15 22:36:01.547401,00930,永豐ESG低碳高息,3052441,997,61882282,20.30,20.36,20.16,20.18,-,0.04,20.18,11,20.20,100,0.00
20240515,2024-05-15 22:36:01.547401,00932,兆豐永續高息等權,19452651,4564,349874486,18.02,18.03,17.93,18.01,+,0.10,18.00,117,18.01,51,0.00
20240515,2024-05-15 22:36:01.547401,00934,中信成長高股息,5677277,2091,106567297,18.73,18.86,18.68,18.68,-,0.03,18.68,19,18.69,58,0.00
20240515,2024-05-15 22:36:01.547401,00935,野村臺灣新科技50,6908546,1749,138117401,19.98,20.10,19.90,19.90,+,0.13,19.89,9,19.90,66,0.00
20240515,2024-05-15 22:36:01.547401,00936,台新永續高息中小,10648988,2444,193631246,18.20,18.27,18.13,18.16,+,0.03,18.15,91,18.16,1,0.00
20240515,2024-05-15 22:36:01.547401,00939,統一台灣高息動能,26013769,6662,376441970,14.45,14.53,14.40,14.41,-,0.04,14.40,776,14.41,145,0.00
20240515,2024-05-15 22:36:01.547401,00940,元大台灣價值高息,137338548,29592,1330324210,9.71,9.73,9.62,9.63,-,0.07,9.62,2862,9.63,41,0.00
20240515,2024-05-15 22:36:01.547401,00941,中信上游半導體,13886797,3295,206590993,14.92,14.94,14.83,14.83,-,0.02,14.83,1813,14.84,2,0.00
20240515,2024-05-15 22:36:01.547401,00944,野村趨勢動能高息,10939943,3075,163286858,14.90,14.98,14.85,14.89,+,0.07,14.88,14,14.89,265,0.00
20240515,2024-05-15 22:36:01.547401,00945B,凱基美國非投等債,15265827,2205,228227596,14.99,14.99,14.93,14.94,-,0.05,14.94,27,14.95,2026,0.00
20240515,2024-05-15 22:36:01.547401,00946,群益科技高息成長,49872611,6656,498439130,9.98,10.03,9.96,9.97,+,0.01,9.96,2337,9.97,62,0.00
20240515,2024-05-15 22:36:01.547401,01001T,土銀富邦R1,102000,4,1485110,14.56,14.56,14.55,14.55,-,0.01,14.45,1,14.55,1,0.00
20240515,2024-05-15 22:36:01.547401,01002T,土銀國泰R1,313000,12,5368540,17.20,17.20,17.15,17.20,+,0.10,17.17,1,17.20,430,0.00
20240515,2024-05-15 22:36:01.547401,01004T,土銀富邦R2,134000,17,1711900,12.75,12.80,12.75,12.80,+,0.02,12.75,2,12.79,48,0.00
20240515,2024-05-15 22:36:01.547401,01007T,兆豐國泰R2,210600,21,3554520,16.90,16.90,16.76,16.90,+,0.05,16.79,1,16.90,58,0.00
20240515,2024-05-15 22:36:01.547401,01009T,王道圓滿R1,25000,7,200510,8.02,8.03,8.02,8.02, ,0.00,8.02,6,8.03,8,0.00
20240515,2024-05-15 22:36:01.547401,01010T,京城樂富R1,50000,11,503550,10.08,10.08,10.07,10.07,-,0.01,10.06,1,10.07,5,0.00
20240515,2024-05-15 22:36:01.547401,020000,富邦特選蘋果N,0,0,0,,,,, ,0.00,11.23,10,11.24,10,0.00
